company,jobtitle,Openings
Jet Airways (India) Ltd,Security Assistant,16
Jet Airways (India) Ltd,Customer Service Assistant,16
om consultancy hiring for A Leading MNC international BPO,Technical Consultant Required for MNC International BPO in Chennai,15
P Cube Consulting Pvt. Ltd,We are Hiring for one of the Reputed School in Bahrain -30,14
Sukhvarsha Management Services Pvt. Ltd. hiring for US Heathcare Indurstry,Opening for AR Callers in Medical Billing U.S Healthcare Process,14
Cholamandalam Investment & Finance Company Limited,Branch Equity Dealer,12
Exide Life Insurance Company Limited,Urgent Opening for Sales Officers/relationship Officers,11
Resource Weaver HR Consulting Pvt. Ltd.,System Engineers,10
Acktron Security System P Ltd,Technicians/ Sr. Technicians,10
Seven Consultancy,SR.MARKETING EXECUTIVE,10
Elmeasure India Private Ltd.,Sales Engineers,10
Sunanda Specialty Coatings Pvt. Ltd.,Sales & Business Development Executive,10
Wall Street Finance Ltd,Sr. Sales Executive / Sales Executive - DMT,10
WISDOM BRIDGE MANAGEMENT CONSULTANTS hiring for Leading Retail firm in Bangalore,"Assistant Manager,hr-generalist ,Top Retail Firm,7411909767,9686288924",9
Exide Life Insurance Company Limited,Sales Manager - Tied Agency Channel,9
Pharmalog,Territory Business Manager / Therapy Manager,9
Orcapod Consulting Services,Urgent Job Opening for Recruiters/sr Recruiters(work from Home),9
Natural Sourcing hiring for international mnc,"Female Custoner Care, Executive Front Office",9
Humantra HR Solutions,Business Ambassador (sales) - Real Estate Mobile App,9
Orcapod Consulting Services,Work From Home-c2h & Permenant Staffng - IT Recruitment-females Only,9
AnandRathi,Equity Dealer- Bangalore/ ROK - Anand Rathi Group,9
Kalsen Management Consultants Pvt Ltd.,Equity Advisor / RM / AM - Sales/franchisee Acquisition- Motilal Oswal,9
Axis Jobs,Finance Assistant / Finance Executive,9
Axis Jobs,Export & Import Executive,9
Axis Jobs,Junior Industrial Engineer,9
Dynamic manpower services,Urgent Opening for Equity Dealer in Satara,9
Franchise Alpha,Franchise Business Consultant,9
Tech Synergy,Medical Transcription - Escription HBTs,9
